Datos_fch_hr,Datos_eje_x,Datos_eje_y,Datos_eje_z,Datos_tmp_s,Datos_tmp_loc
26-10-2021 01:48:15,-0.01,0.25,-10.05,0,\N
26-10-2021 01:48:16,-0.1,-0.25,-10.37,0,\N
26-10-2021 01:48:17,0.21,-0.82,-11.86,0,\N
26-10-2021 01:48:18,-0.21,0.05,-9.72,0,\N
26-10-2021 01:48:19,0.01,0.31,-10.39,0,\N
26-10-2021 01:48:20,0.11,0.57,-10.08,0,\N
26-10-2021 01:48:21,0.5,-0.04,-10.09,0,\N
26-10-2021 01:48:22,0.16,0.02,-10.43,0,\N
26-10-2021 01:48:23,-0.33,0.09,-10.04,0,\N
26-10-2021 01:48:24,-0.18,0.03,-10.3,0,\N
26-10-2021 01:48:25,0.1,0.05,-10.98,0,\N
26-10-2021 01:48:26,-0.07,-0.1,-10.92,0,\N
26-10-2021 01:48:27,-0.07,-0.24,-10.95,0,\N
26-10-2021 01:48:28,-0.1,-0.21,-9.91,0,\N
26-10-2021 01:48:29,-0.33,0.24,-10.29,0,\N
26-10-2021 01:48:30,0.12,-0.11,-10.65,0,\N
26-10-2021 01:48:31,0.25,-0.08,-10.74,0,\N
26-10-2021 01:48:32,-0.18,-0.17,-10.71,0,\N
26-10-2021 01:48:33,0.08,-0.48,-10.66,0,\N
26-10-2021 01:48:34,0.13,-0.14,-10.71,0,\N
26-10-2021 01:48:35,0.2,-0.42,-10.56,0,\N
26-10-2021 01:48:36,-0.1,0.42,-10,0,\N
26-10-2021 01:48:37,-0.26,0.24,-10.07,0,\N
26-10-2021 01:48:38,-0.03,-0.06,-10.15,0,\N
26-10-2021 01:48:39,0.06,-0.36,-10.13,0,\N
26-10-2021 01:48:40,0.5,0.31,-9.94,0,\N
26-10-2021 01:48:41,0.16,0.28,-10.49,0,\N
26-10-2021 01:48:42,0.09,0.39,-9.94,0,\N
26-10-2021 01:48:43,0.46,0.55,-10.33,0,\N
26-10-2021 01:48:44,-0.02,0.15,-10.61,0,\N
26-10-2021 01:48:45,0.34,-0.41,-10.79,0,\N
26-10-2021 01:48:46,0.31,0.17,-10.49,0,\N
26-10-2021 01:48:47,-0.02,-0.25,-10.25,0,\N
26-10-2021 01:48:48,-0.22,-0.48,-10.05,0,\N
26-10-2021 01:48:49,0.08,0.51,-10.09,0,\N
26-10-2021 01:48:50,0.16,-0.04,-10.63,0,\N
26-10-2021 01:48:51,-0.04,0.45,-10.33,0,\N
26-10-2021 01:48:52,-0.14,-0.02,-10.4,0,\N
26-10-2021 01:48:53,0.09,0.04,-10.25,0,\N
26-10-2021 01:48:54,-0.12,-0.19,-10.79,0,\N
26-10-2021 01:48:55,-0.18,0.34,-10.25,0,\N
26-10-2021 01:48:56,0.11,0.53,-10.01,0,\N
26-10-2021 01:48:57,0.05,0.2,-10.37,0,\N
26-10-2021 01:48:58,-0.34,-0.08,-10.2,0,\N
26-10-2021 01:48:59,0,-0.09,-10.38,0,\N
26-10-2021 01:49:00,-0.1,0.18,-10.75,0,\N
26-10-2021 01:49:01,-0.08,0.18,-10,0,\N
26-10-2021 01:49:02,0.11,-0.43,-10.24,0,\N
26-10-2021 01:49:03,-0.37,0.13,-10.43,0,\N
26-10-2021 01:49:04,0.23,-0.38,-10.45,0,\N
26-10-2021 01:49:05,0.01,-0.07,-10.37,0,\N
26-10-2021 01:49:06,-0.33,0.52,-9.87,0,\N
26-10-2021 01:49:07,-0.15,0.02,-10.41,0,\N
26-10-2021 01:49:08,0.44,-0.15,-10.75,0,\N
26-10-2021 01:49:09,-0.01,0.34,-10.22,0,\N
26-10-2021 01:49:10,0.4,-0.35,-10.39,0,\N
26-10-2021 01:49:11,-0.63,0,-10,0,\N
26-10-2021 01:49:12,-0.21,-0.06,-10.11,0,\N
26-10-2021 01:49:13,0.02,-0.37,-10.27,0,\N
26-10-2021 01:49:14,0.04,-0.16,-10.33,0,\N
26-10-2021 01:49:15,-0.25,0.2,-10.22,0,\N
26-10-2021 01:49:16,0.05,0.24,-10.06,0,\N
26-10-2021 01:49:17,-0.2,-0.67,-10.28,0,\N
26-10-2021 01:49:18,0.17,-0.43,-10.12,0,\N
26-10-2021 01:49:19,0.3,-0.27,-10.95,0,\N
26-10-2021 01:49:20,-0.14,0.09,-10.64,0,\N
26-10-2021 01:49:21,0.17,-0.19,-10.6,0,\N
26-10-2021 01:49:22,-0.05,-0.07,-10.31,0,\N
26-10-2021 01:49:23,-0.07,0.07,-10.46,0,\N
26-10-2021 01:49:24,0.26,-0.09,-10.62,0,\N
26-10-2021 01:49:25,-0.17,0.03,-10.51,0,\N
26-10-2021 01:49:26,-0.28,0.14,-10.07,0,\N
26-10-2021 01:49:27,0.05,-0.28,-10.55,0,\N
26-10-2021 01:49:28,-0.4,-0.22,-9.95,0,\N
26-10-2021 01:49:29,-0.06,-0.02,-10.87,0,\N
26-10-2021 01:49:30,0.12,-0.18,-10.71,0,\N
26-10-2021 01:49:31,-0.06,0.16,-9.85,0,\N
26-10-2021 01:49:32,-0.07,-0.35,-9.99,0,\N
26-10-2021 01:49:33,0.01,0.26,-10.18,0,\N
26-10-2021 01:49:34,0.04,-0.21,-9.93,0,\N
26-10-2021 01:49:35,-0.24,0.4,-10.11,0,\N
26-10-2021 01:49:36,-0.06,0.14,-10.77,0,\N
26-10-2021 01:49:37,-0.51,0.58,-9.25,0,\N
26-10-2021 01:49:38,-0.1,0,-10.02,0,\N
26-10-2021 01:49:39,0.03,0.03,-9.94,0,\N
26-10-2021 01:49:40,-0.03,-0.1,-10.42,0,\N
26-10-2021 01:49:41,-0.06,-0.51,-10.5,0,\N
26-10-2021 01:49:42,0.24,-0.26,-10.64,0,\N
26-10-2021 01:49:43,-0.3,0.23,-10.34,0,\N
26-10-2021 01:49:44,0.06,0.09,-10.95,0,\N
26-10-2021 01:49:45,-0.21,0.35,-10.18,0,\N
26-10-2021 01:49:46,0.14,0.05,-10.46,0,\N
26-10-2021 01:49:47,-0.01,-0.09,-10.46,0,\N
26-10-2021 01:49:48,0.21,0.39,-10.92,0,\N
26-10-2021 01:49:49,-0.24,0.19,-10.32,0,\N
26-10-2021 01:49:50,-0.61,0.02,-10.38,0,\N
26-10-2021 01:49:51,-0.41,0.01,-10.08,0,\N
26-10-2021 01:49:52,0.13,0.38,-10.03,0,\N
26-10-2021 01:49:53,-0.12,-0.32,-10.46,0,\N
26-10-2021 01:49:54,0.16,-0.2,-10.39,0,\N
26-10-2021 01:49:55,-0.31,0,-10.35,0,\N
26-10-2021 01:49:56,-0.08,0.46,-9.84,0,\N
26-10-2021 01:49:57,0.2,-0.16,-10.36,0,\N
26-10-2021 01:49:58,0.02,0.41,-10.38,0,\N
