Datos_fch_hr,Datos_eje_x,Datos_eje_y,Datos_eje_z
2021-10-26 0:04:21,0.44,1.16,-5.73
2021-10-26 0:04:22,0.53,1.21,-5.69
2021-10-26 0:04:23,0.53,1.32,-5.31
2021-10-26 0:04:24,0.82,-1.33,-8.55
2021-10-26 0:04:25,0.73,-1.46,-7.13
2021-10-26 0:04:26,0.06,2.38,-1.33
2021-10-26 0:04:27,-0.38,2.88,-0.91
2021-10-26 0:04:28,0.56,-1.01,-8.14
2021-10-26 0:04:29,0.81,-1.44,-7.54
2021-10-26 0:04:30,0.9,-0.15,-5.56
2021-10-26 0:04:31,0.03,3.19,-0.5
2021-10-26 0:04:32,0.69,1.04,-6.05
2021-10-26 0:04:33,0.74,1.26,-5.73
2021-10-26 0:04:34,-0.07,3.52,-0.18
2021-10-26 0:04:35,0.87,1.29,-4.84
2021-10-26 0:04:36,0.81,-1.08,-6.64
2021-10-26 0:04:37,0.26,2.37,-1.24
2021-10-26 0:04:38,-0.26,3.4,-0.46
2021-10-26 0:04:39,0.51,1.67,-4.2
2021-10-26 0:04:40,0.52,-1.13,-8.34
2021-10-26 0:04:41,1.36,-1.58,-8.99
2021-10-26 0:04:42,0.86,-0.16,-5.55
2021-10-26 0:04:43,-0.08,1.86,-2.32
2021-10-26 0:04:44,0.22,3.08,-0.54
2021-10-26 0:04:45,1.26,-1.47,-9.05
2021-10-26 0:04:46,0.15,3.2,-0.48
2021-10-26 0:04:47,0.8,1.16,-5.71
2021-10-26 0:04:48,0.71,-0.5,-8.07
2021-10-26 0:04:49,1.06,-1.82,-8.31
2021-10-26 0:04:50,1.07,-1.41,-9.07
2021-10-26 0:04:51,0.43,1.4,-3.21
2021-10-26 0:04:52,0.01,1.43,-3.65
2021-10-26 0:04:53,0.94,1.3,-5.36
2021-10-26 0:04:54,-0.13,3.58,-0.29
2021-10-26 0:04:55,-0.12,2.79,-0.95
2021-10-26 0:04:56,0.26,-1.02,-8.17
2021-10-26 0:04:57,0.07,2.61,-1.68
2021-10-26 0:04:58,0.28,1.57,-4.79
2021-10-26 0:04:59,0.86,0.06,-6.82
2021-10-26 0:04:59,1.05,-1.72,-9.14
2021-10-26 0:05:00,0.76,0.3,-7.08
2021-10-26 0:05:01,0.78,-0.97,-8.08
2021-10-26 0:05:02,1.03,-1.57,-9.34
2021-10-26 0:05:03,0.17,3.53,0.28
2021-10-26 0:05:04,-0.74,3.38,-0.84
2021-10-26 0:05:05,0.79,-0.58,-8.06
2021-10-26 0:05:06,0.59,-1.94,-8.23
2021-10-26 0:05:07,0.7,0.96,-5.84
2021-10-26 0:05:08,-0.43,3.41,-0.31
2021-10-26 0:05:09,0.54,1.73,-4.87
2021-10-26 0:05:10,0.35,-1.08,-8.27
2021-10-26 0:05:11,1.19,-1.03,-8.15
2021-10-26 0:05:12,0.87,0.27,-6.85
2021-10-26 0:05:13,0.41,-0.94,-8.33
2021-10-26 0:05:14,-0.04,3.42,-0.54
2021-10-26 0:05:15,0.4,2.27,-3.27
2021-10-26 0:05:16,0.78,-1.37,-8.49
2021-10-26 0:05:17,0.55,-0.76,-8.02
2021-10-26 0:05:18,0.17,2.53,-2.57
2021-10-26 0:05:19,0.1,2.58,-2.31
2021-10-26 0:05:20,0.87,1.15,-5.6
2021-10-26 0:05:21,0.6,-1.38,-8.34
2021-10-26 0:05:22,0.74,-1.2,-8.41
2021-10-26 0:05:23,1.24,-1.95,-8.47
2021-10-26 0:05:24,0.61,0.96,-4.05
2021-10-26 0:05:25,0.85,-1.32,-8.89
2021-10-26 0:05:26,0.6,0.37,-4.93
2021-10-26 0:05:27,0.38,0.31,-5.2
2021-10-26 0:05:28,0.69,0.51,-6.62
2021-10-26 0:05:29,1.02,-1.36,-8.54
